,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
26819,Used,2.5 GHz,No,,,52,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,High,32,Windows,RunInstances:0006,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 320 SSD,,Shared,,,,BoxUsage:r3.4xlarge,16,,Compute Instance,BMW624PB2S9DK3CT
26843,Used,,No,,,6.5,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,m2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,17.1 GiB,Moderate,8,Windows,RunInstances:0202,,Intel Xeon Family,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 420,,Dedicated,,,,DedicatedUsage:m2.xlarge,2,,Compute Instance,U7RB8YXJ8WGXHNK3
26871,Used,2.6 GHz,No,,,104,,,,,4,,,,,,,,,,,,,,,,,,GPU instance,g2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,Windows,RunInstances:0102,,Intel Xeon E5-2670 (Sandy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 120 SSD,,Dedicated,,,,DedicatedUsage:g2.8xlarge,32,,Compute Instance,M3EYMWB8284E38CQ
26905,Used,,Yes,,,208,,,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.metal,,,,No License required,US East (N. Virginia),AWS Region,,,,,512 GiB,25 Gigabit,128,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Host,,,,HostBoxUsage:i3.metal,72,,Compute Instance (bare metal),HAYGSTWZRDVVHRWR
26948,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,Linux,RunInstances:0004,,Intel Xeon Platinum 8175,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r5.4xlarge,16,,Compute Instance,FY5HVVQVNKEA7TPC
26962,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Windows,RunInstances:0102,,Intel Xeon Platinum 8175,SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:m5.24xlarge,96,,Compute Instance,A33PCPWJJ7ZZZV5U
26976,Used,,No,,,13,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,m2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,34.2 GiB,Moderate,16,Windows,RunInstances:0006,,Intel Xeon Family,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 850,,Shared,,,,BoxUsage:m2.2xlarge,4,,Compute Instance,KNDB73D8XZCD246T
26977,Used,2.3 GHz,Yes,1600 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 2000 HDD,,Host,,,,HostBoxUsage:h1.2xlarge,8,,Compute Instance,4KAQQBT4VYRNEYVT
26984,Used,2.3 GHz,Yes,14000 Mbps,,188,,Yes,,,4,,,,,,,,,,,,,,,,,,GPU instance,g3.16xlarge,Yes,Yes,Yes,Bring your own license,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Windows,RunInstances:0800,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:g3.16xlarge,64,,Compute Instance,K53MFK3A5RMBQM4F
27013,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,SUSE,RunInstances:000g,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Host,,,,HostBoxUsage:z1d.xlarge,4,,Compute Instance,9P4EQGA4KCCF7TF5
27031,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,RHEL,RunInstances:0010,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Host,,,,HostBoxUsage:r5d.large,2,,Compute Instance,QCE22BPYVFB7RAQG
27046,Used,2.3 GHz,Yes,1600 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 2000 HDD,,Dedicated,,,,DedicatedUsage:h1.2xlarge,8,,Compute Instance,Z8UKB3QQ5RJPANSH
27084,Used,2.3 GHz,Yes,800 Mbps,,13.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Up to 10 Gigabit,8,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.xlarge,4,,Compute Instance,M585HN87CC23QMVN
27094,Used,,No,,,4,,,,,,,,,,,,,,,,,,,,,,,General purpose,m1.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,4,Windows,RunInstances:0006,,Intel Xeon Family,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 420,,Shared,,,,BoxUsage:m1.large,2,,Compute Instance,BQZA2V9VZEE32ZTX
27100,AllocatedHost,2.3 GHz,Yes,,,NA,,,,,,,,,,,,1,,,8,,4,2,,32,,16,Memory optimized,r4,,,,No License required,US East (N. Virginia),AWS Region,,,,,NA,NA,NA,Linux,RunInstances,36,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,NA,,Reserved,,,,ReservedHostUsage:r4,64,,Dedicated Host,93QWAXA2QUC79VBR
27109,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,RHEL,RunInstances:0010,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.2xlarge,8,,Compute Instance,SX87UYG7TV9SACU6
27116,Used,,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t3.nano,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,0.5 GiB,Low,0.25,Windows,RunInstances:0800,,Intel Skylake E5 2686 v5 (2.5 GHz),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t3.nano,2,,Compute Instance,AYDZ5EKEEAHRAZZU
27122,Used,,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,Linux,RunInstances:0200,,Intel Skylake E5 2686 v5 (2.5 GHz),SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t3.xlarge,4,,Compute Instance,2WFJJMUZWGMZK5UJ
27134,Used,2.3 GHz,Yes,,,349,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",High,256,Windows,RunInstances:0002,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.32xlarge,128,,Compute Instance,56836GB58CR7CVY9
27139,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0100,,Intel Xeon Platinum 8124M,SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:c5.2xlarge,8,,Compute Instance,QTXG9W7QSF597VP5
27176,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,RHEL,RunInstances:0010,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.large,2,,Compute Instance,7PHMCYV3WEYW3C2C
27208,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,64,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 2000 HDD,,Dedicated,,,,DedicatedUsage:h1.8xlarge,32,,Compute Instance,24D637RX7TFKXVMW
27209,Used,,Yes,,,26,,,,,,,,,,,,,,,,,,,,,,,FPGA Instances,f1.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:f1.2xlarge,8,,Compute Instance,AYYR654XYEDPM6TA
27238,Used,2.4 GHz,Yes,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,d2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0102,,Intel Xeon E5-2676v3 (Haswell),SQL Ent,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,3 x 2000 HDD,,Dedicated,,,,DedicatedUsage:d2.xlarge,4,,Compute Instance,BUS2682V3FEX8NNV
27241,Used,2.5 GHz,No,,,3,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,2,Windows,RunInstances:0202,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 4 SSD,,Dedicated,,,,DedicatedUsage:m3.medium,1,,Compute Instance,RUDWUCYJBCDYZNGV
27258,Used,2.8 GHz,No,,,55,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,SUSE,RunInstances:000g,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 160 SSD,,Dedicated,,,,DedicatedUsage:c3.4xlarge,16,,Compute Instance,RXE37MRXKF33M9T8
27269,Used,2.5 GHz,No,,,104,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,RunInstances,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,8 x 800 SSD,,Host,,,,HostBoxUsage:i2.8xlarge,32,,Compute Instance,SG6RKNMKR45QPDJW
27279,Used,,Yes,,,19,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,10 Gigabit,8,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r5.xlarge,4,,Compute Instance,CGY2ZJCVGQHY9S6E
27290,Used,,Yes,,,208,,,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.metal,,,,No License required,US East (N. Virginia),AWS Region,,,,,512 GiB,25 Gigabit,128,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.metal,72,,Compute Instance (bare metal),UUE8CESVFX9JCPJE
27308,Used,2.3 GHz,Yes,14000 Mbps,,200,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.16xlarge,64,,Compute Instance,PSVDMQASMVK87NYB
27309,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.4xlarge,16,,Compute Instance,9W9C9RYCEM7MTPXG
27334,Used,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,RHEL,RunInstances:0010,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Shared,,,,BoxUsage:c5d.9xlarge,36,,Compute Instance,HK7TM3U76A4HNY76
27335,Used,2.3 GHz,Yes,14000 Mbps,,188,,Yes,,,4,,,,,,,,,,,,,,,,,,GPU instance,g3.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:g3.16xlarge,64,,Compute Instance,HESKMZUVTYYVD46R
27336,Used,2.3 GHz,Yes,,,349,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",High,256,Linux,RunInstances,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.32xlarge,128,,Compute Instance,3TGYW692U4UVK8F4
27342,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.12xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0800,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Shared,,,,BoxUsage:r5d.12xlarge,48,,Compute Instance,8ZX86BTJWSFXH7RC
27349,Used,2.5 GHz,No,,,6.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,15.25 GiB,Moderate,4,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Host,,,,HostBoxUsage:r3.large,2,,Compute Instance,M7CJ3KNC8SVT4Y6G
27360,Used,2.9 GHz,Yes,1000 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,RHEL,RunInstances:0010,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.2xlarge,8,,Compute Instance,V56C6ZGR7E55RDBN
27370,Used,2.9 GHz,Yes,500 Mbps,,8,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.large,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,4,Windows,RunInstances:0800,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.large,2,,Compute Instance,HJU8DJNB6BYWAMBG
27374,Used,2.6 GHz,No,,,104,,,,,4,,,,,,,,,,,,,,,,,,GPU instance,g2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,Windows,RunInstances:0002,,Intel Xeon E5-2670 (Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 120 SSD,,Shared,,,,BoxUsage:g2.8xlarge,32,,Compute Instance,GNAPQZPVUSZ36KUU
27382,Used,2.9 GHz,Yes,2000 Mbps,,62,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,Linux,RunInstances,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.4xlarge,16,,Compute Instance,ARPJFM962U4P5HAT
27385,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,68,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,32,Linux,RunInstances:0100,,Intel Xeon Platinum 8124M,SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c5.4xlarge,16,,Compute Instance,25MKGC2RM8Q29BZZ
27399,Used,2.3 GHz,Yes,,,174.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,High,128,SUSE,RunInstances:000g,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.16xlarge,64,,Compute Instance,Q6R3PVH9UARHH828
27416,Used,2.3 GHz,Yes,12000 Mbps,,188,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,256 GiB,25 Gigabit,128,Windows,RunInstances:0102,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 2000 HDD,,Dedicated,,,,DedicatedUsage:h1.16xlarge,64,,Compute Instance,KE3VBV5THU65JYRF
27439,Used,2.5 GHz,No,,,13,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,8,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 40 SSD,,Host,,,,HostBoxUsage:m3.xlarge,4,,Compute Instance,K5TSDMZRHY2JN5F6
27451,Used,2.3 GHz,Yes,14000 Mbps,,340,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.32xlarge,Yes,Yes,Yes,Bring your own license,US East (N. Virginia),AWS Region,,,,,"3,904 GiB",25 Gigabit,256,Windows,RunInstances:0800,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,"2 x 1,920 SSD",,Host,,,,HostBoxUsage:x1e.32xlarge,128,,Compute Instance,RHDHFX8Q8XYHVTC7
27468,Used,2.5 GHz,No,,,104,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,RunInstances:0200,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 320 SSD,,Dedicated,,,,DedicatedUsage:r3.8xlarge,32,,Compute Instance,ZFQD45J4P2N3SUGT
27474,Used,2.3 GHz,Yes,7000 Mbps,,94,,Yes,,,2,,,,,,,,,,,,,,,,,,GPU instance,g3.8xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:g3.8xlarge,32,,Compute Instance,XDG4DYSAQBVCPRJQ
27476,Used,2.3 GHz,Yes,1000 Mbps,,23,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.2xlarge,Yes,Yes,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,Up to 10 Gigabit,16,Linux,RunInstances,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 240 SSD,,Shared,,,,BoxUsage:x1e.2xlarge,8,,Compute Instance,TN5GRYE6RHCET7M3
27487,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Linux,RunInstances:0004,,Intel Xeon Platinum 8175,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.24xlarge,96,,Compute Instance,7GSD5XJG2334RFR2
27499,Used,Up to 3.0 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Moderate,16,Linux,RunInstances:0200,,Intel Xeon Family,SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.2xlarge,8,,Compute Instance,6BRS5QCYDYJMYCM8
27508,Used,2.3 GHz,Yes,,,349,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",High,256,Windows,RunInstances:0102,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.32xlarge,128,,Compute Instance,N8NT76W8DSVFQXZF
27514,Used,Up to 3.0 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Moderate,16,RHEL,RunInstances:0010,,Intel Xeon Family,NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.2xlarge,8,,Compute Instance,A64H3T6VVR3C4SUA
27519,Used,2.3 GHz,Yes,14000 Mbps,,340,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"3,904 GiB",25 Gigabit,256,Windows,RunInstances:0102,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,"2 x 1,920 SSD",,Shared,,,,BoxUsage:x1e.32xlarge,128,,Compute Instance,S829SWJS7CDHWFZY
